date,kpi_total_index,kpi_energy_index,cpi_yoy,cpi_energy_yoy
2001-07-01,79.47,74.02,2.674418604651163,5.082339579784212
2001-08-01,79.66,74.21,2.8534538411878474,5.202721859937598
2001-09-01,80.34,73.68,2.986796564543015,4.185520361990958
2001-10-01,80.12,73.23,2.494563131636185,3.3300409199943592
2001-11-01,80.15,73.28,2.467399642035284,3.1967328545275286
2001-12-01,80.22,73.24,2.6618889173278815,2.937456078706946
2002-01-01,80.02,74.45,2.7082531125657727,2.74634280982613
2002-02-01,80.22,74.49,2.5962399283795845,2.4762690879075455
2002-03-01,80.9,74.59,2.7040751555160725,2.4869469634515085
2002-04-01,81.26,75.15,2.265290712308099,2.565852327009699
2002-05-01,81.46,75.4,1.8249999999999877,2.7247956403269713
2002-06-01,81.34,75.46,1.8277416124186319,2.4714828897338226
2002-07-01,81.06,75.64,2.0007550018874998,2.188597676303705
2002-08-01,81.1,75.53,1.8076826512678945,1.7787360194043922
2002-09-01,81.72,75.69,1.7176997759521972,2.7280130293159566
2002-10-01,81.99,75.85,2.333999001497733,3.577768674040671
2002-11-01,81.79,76.09,2.0461634435433584,3.834606986899569
2002-12-01,81.89,75.97,2.081775118424334,3.727471327143639
2003-01-01,82.15,78.36,2.6618345413646605,5.25184687709872
2003-02-01,82.88,79.41,3.315881326352521,6.604913411196134
2003-03-01,83.3,79.44,2.9666254635352107,6.502212092773818
2003-04-01,83.01,79.11,2.1535810977110437,5.269461077844295
2003-05-01,82.91,79.13,1.7800147311564096,4.946949602122008
2003-06-01,82.68,78.57,1.6474059503319483,4.121388815266358
2003-07-01,82.39,78.16,1.6407599309153698,3.3315705975674126
2003-08-01,82.37,78.04,1.5659679408138283,3.3231828412551456
2003-09-01,82.97,78.2,1.5296133137542745,3.3161580129475565
2003-10-01,83.02,78.3,1.2562507622880803,3.230059327620305
2003-11-01,82.85,78.49,1.2960019562293423,3.15415954790379
2003-12-01,82.93,78.44,1.2699963365490285,3.2512834013426417
2004-01-01,82.75,79.68,0.7303712720633015,1.6845329249617347
2004-02-01,82.55,79.29,-0.39816602316602445,-0.1511144692104116
2004-03-01,83.17,79.13,-0.15606242496998268,-0.3902316213494461
2004-04-01,83.18,78.69,0.20479460305986574,-0.5309063329541175
2004-05-01,83.39,78.55,0.578941020383561,-0.7329710602805517
2004-06-01,83.03,78.47,0.42331881954522643,-0.12727504136438306
2004-07-01,82.9,78.48,0.6190071610632453,0.4094165813715467
2004-08-01,82.81,78.64,0.5341750637367859,0.7688364941055736
2004-09-01,83.41,78.63,0.5303121610220618,0.5498721227621406
2004-10-01,83.65,78.62,0.7588532883642696,0.40868454661560083
2004-11-01,83.18,78.59,0.39831019915510524,0.1274047649382215
2004-12-01,83.16,78.38,0.27734233691063537,-0.07649158592555327
2005-01-01,82.72,78.98,-0.03625377643504679,-0.8785140562248994
2005-02-01,83.11,78.94,0.6783767413688802,-0.44141758103166673
2005-03-01,83.28,78.97,0.13225922808703938,-0.20219891318083993
2005-04-01,83.4,79.14,0.2644866554460279,0.5718642775448091
2005-05-01,83.45,79.08,0.07195107327018224,0.6747294716740848
2005-06-01,83.49,79.05,0.5540166204986097,0.739135975532057
2005-07-01,83.18,78.79,0.3377563329312494,0.3950050968399621
2005-08-01,83.34,78.89,0.6400193213380145,0.3179043743641863
2005-09-01,83.91,78.96,0.5994485073732125,0.41968714231208626
2005-10-01,84.06,79.09,0.490137477585173,0.5978122615110548
2005-11-01,83.86,79.27,0.8175042077422479,0.8652500318106604
2005-12-01,83.89,79.39,0.8778258778258774,1.2885940290890519
2006-01-01,83.23,79.75,0.6165377176015507,0.9749303621169769
2006-02-01,83.62,80.37,0.613644567440752,1.8115024068913188
2006-03-01,84.21,80.97,1.1167146974063291,2.5326073192351473
2006-04-01,84.64,81.24,1.4868105515587482,2.653525398028811
2006-05-01,84.77,81.26,1.5817855002995707,2.756702073849282
2006-06-01,84.74,81.33,1.4971852916517037,2.8842504743832986
2006-07-01,84.6,81.95,1.7071411396970326,4.010661251427838
2006-08-01,84.66,82.37,1.5838732901367836,4.4112054759792185
2006-09-01,85.15,83.02,1.4777738052675682,5.141843971631199
2006-10-01,85.16,82.75,1.3085891030216512,4.627639398154004
2006-11-01,85.27,83.42,1.6813737181015975,5.23527185568311
2006-12-01,85.27,83.24,1.645011324353307,4.849477264139046
2007-01-01,84.84,83.97,1.9343986543313596,5.291536050156731
2007-02-01,85.27,84.05,1.9732121502032962,4.57882294388452
2007-03-01,85.83,84.07,1.923762023512654,3.8285784858589578
